0,1,2,Name,NA_Sales,JP_Sales,EU_Sales,Other_Sales,Global_Sales,Rating,Developer,Publisher,Genre
287.14343346047536,-41.44195432185381,-4.3359746170470235,New Super Mario Bros. 2,3660000.0,2470000.0,3140000.0,630000.0,9900000.0,E,Nintendo,Nintendo,Platform
-138.2720318679112,20.061698276446986,8.745854522059656,Mario Kart 64,5550000.0,2230000.0,1940000.0,150000.0,9870000.0,E,Nintendo,Nintendo,Racing
1908.3900398687092,-35.70501324733158,-0.6103768284295044,Halo: Reach,7040000.0,80000.0,1950000.0,790000.0,9860000.0,M,Bungie,Microsoft Game Studios,Shooter
1143.8634812543621,27.4247535276745,9.020843598927131,Final Fantasy VII,3010000.0,3280000.0,2470000.0,960000.0,9720000.0,T,SquareSoft,Sony Computer Entertainment,Role-Playing
3122.8587432136155,2.168824118077974,-2.732595238435511,Halo 4,6650000.0,40000.0,2280000.0,740000.0,9710000.0,M,343 Industries,Microsoft Game Studios,Shooter
-2.808161659943258,-0.16099263256707122,6.7741057321122575,Gran Turismo 2,3880000.0,1690000.0,3420000.0,500000.0,9490000.0,T,Polyphony Digital,Sony Computer Entertainment,Racing
-113.74914752452963,-3.955049710718079,-4.305888145745725,Just Dance 2,5800000.0,10000.0,2850000.0,780000.0,9440000.0,E10+,Ubisoft,Ubisoft,Misc
4573.420852160306,-55.57891146205054,6.297419067869457,Call of Duty 4: Modern Warfare,9989999.999999998,420000.00000000006,5749999.999999999,2040000.0,18190000.0,M,Infinity Ward,Activision,Shooter
-84.73183639291332,-4.699049287150276,11.813176143405041,Donkey Kong Country,6600000.000000001,3590000.0,2909999.9999999995,430000.0,13530000.000000002,E,Nintendo,Nintendo,Platform
-138.25213721188513,19.384545574201603,-8.247854012865393,Minecraft,11280000.0,1240000.0,8750000.0,2890000.0000000005,24160000.0,E,Microsoft Game Studios,Microsoft Game Studios,Misc
489.09764900127806,-37.13644168936722,-4.2011417427325695,Animal Crossing: New Leaf,2030000.0,4390000.0,2360000.0,390000.0,9160000.0,E,Nintendo,Nintendo,Simulation
-52.70267673802284,-5.528160325191398,-1.1638048630470768,Mario Party DS,4400000.0,1980000.0,1850000.0,680000.0,8910000.0,E,Hudson Soft,Nintendo,Misc
