Critic_Count,Critic_Score,Developer,EU_Sales,Genre,Global_Sales,JP_Sales,NA_Sales,Name,Other_Sales,Platform,Publisher,Rating,User_Count,User_Score,Year_of_Release
0.0,0.0,Takara,0.0,Action,0.06,0.06,0.0,Kikou Heidan J-Phoenix,0.0,PS2,Takara,E,0.0,0.0,2001.0
40.0,6.4,Sandlot,0.02,Shooter,0.06,0.0,0.03,Earth Defense Force 4.1: The Shadow of New Despair,0.01,PS4,Xseed Games,M,51.0,7.9,2015.0
0.0,0.0,Konami Digital Entertainment,0.02,Action,0.06,0.0,0.04,Shonen Jump's Shaman King: Legacy of the Spirits - Soaring Hawk/Sprinting Wolf,0.0,GBA,Konami Digital Entertainment,RP,0.0,0.0,2005.0
0.0,0.0,Empire Interactive,0.02,Puzzle,0.06,0.0,0.04,Bubble Bobble: Old & New,0.0,GBA,Empire Interactive,E,0.0,0.0,2002.0
0.0,0.0,Takara Tomy,0.0,Fighting,0.06,0.06,0.0,Naruto Shippuden: Gekito Ninja Taisen! Special,0.0,Wii,Takara Tomy,T,0.0,0.0,2010.0
0.0,0.0,Sega,0.0,Action,0.06,0.06,0.0,Jissen Pachislot Secrets! Fist of the North Star F - Seikimatsu Kyuuseishu Densetsu,0.0,PS3,Sega,T,0.0,0.0,2012.0
0.0,0.0,Shogakukan,0.0,Adventure,0.06,0.06,0.0,Kekkon: Marriage,0.0,SAT,Shogakukan,RP,0.0,0.0,1995.0
0.0,0.0,Enterbrain,0.0,Adventure,0.06,0.06,0.0,KimiKiss,0.0,PS2,Enterbrain,T,0.0,0.0,2006.0
0.0,0.0,Alchemist,0.0,Action,0.06,0.06,0.0,Nicola Kanshuu: Model * Oshare Audition 2,0.0,3DS,Alchemist,RP,0.0,0.0,2011.0
0.0,0.0,D3Publisher,0.0,Misc,0.06,0.06,0.0,Hisshou Pachinko*Pachi-Slot Kouryaku Series Portable Vol. 1: Shinseiki Evangelion - Tamashii no Kiseki,0.0,PSP,D3Publisher,T,0.0,0.0,2010.0
0.0,0.0,Sega,0.0,Strategy,0.06,0.06,0.0,Shining Force Feather,0.0,DS,Sega,T,0.0,0.0,2009.0
